"Product_Name","Weight","Unit","Number_Per_Unit","Storage_Form","Number_Whole_Package","Art_Nr_Supplier","Article_Number","Country","GTIN","Category"
"Monin lime 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M18-FL","551556","Frankrike","03052910056407","Syrups"
"Marie Brizard Strawberry Syrup 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","9228201","536938","Frankrike","3041311026447","Syrups"
"Monin mojito 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M71-FL","541920","Frankrike","03052910015961","Syrups"
"Marie Brizard Cane Sugar Syrup 70cl","0,70 kg","4,20 l/Styck","4,20 l/Styck","Torrt","6","9227901","548735","Frankrike","3041311026423","Syrups"
"Monin granatäpple 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M84","564765","Frankrike","03052910041021","Syrups"
"Marie Brizard Grenadine Syrup 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","9228101","535310","Frankrike","3041311026454","Syrups"
"Drinkmix Piña Colada 1L","6,00 kg","6,00 l/Kartong","6,00 l/Kartong","Torrt","6","589424","589424","Sverige","18436538103767","Drinkmix"
"Drinkmix Sour Mix 140g/1L","1,40 kg","1,40 kg/Kartong","1,40 kg/Kartong","Torrt","10","1001","558569","Sverige","","Drinkmix"
"Rose's Lemon 57cl","3,42 kg","3,42 l/Kartong","3,42 l/Kartong","Torrt","6","253397","530543","Danmark","5701125678437","Drinkmix"
"Jacobsen Golden Naked Christmas Ale 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","21777","500280","Danmark","","Lager"
"Monin ingefära 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M36","488809","Frankrike","03052910055240","Syrups"
"Monin kaffe 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M35-FL","530360","Frankrike","03052910055219","Syrups"
"Marie Brizard Coconut Syrup 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","9228001","535138","Frankrike","3041311026867","Syrups"
"Châteauneuf du Pape 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","46881","606780","Frankrike","03174361272493",""
"Don Julio Blanco 100% Agave 38% 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","9045502","606731","Mexico","07506064300160","Tequila"
"Beaumont des Crayères Grand Rosé 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","7676401","605378","Frankrike","3463000030113",""
"Ara Single Estate Sauvignon Blanc 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","46415","499301","Nya Zeeland","19421900742070",""
"Barolo Serralunga d'Alba 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","46864","606806","Italien","73107602468644",""
"Don Julio Reposado 100% Agave 38% 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","9045503","606269","Mexico","07506064300177","Tequila"
"Cigarra Shiraz Tinta Barroca 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","256501","605089","Portugal","25604424240166",""
"Ecologica Berlina 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","626601","605097","Tyskland","04005088191738",""
"Ga-Jol Granatäpple 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","86348010","606954","Nederländerna","05703586130127","Likör"
"Bonpas Côtes du Rhône 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","201601","604728","Frankrike","",""
"The Ultimate Zin Zinfandel 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","655001","604264","USA","00608866303138",""
"Castelnau de Suduiraut 37,5cl","0,38 kg","X 0,375 l","X 0,375 l","VSÖ","12","369002","603464","Frankrike","",""
"Marqués de Riscal Gran Reserva 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","7134601","603126","Spanien","08410869450816",""
"Don Julio Añejo 100% Agave 38% 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","9045501","606293","Mexico","7506064300184","Tequila"
"Hayman's Old Tom Gin 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","HOG001","601518","Storbritannien","5021692117819","Gin"
"Laurent-Perrier Brut NV magnum 1,5L","1,50 kg","X 1,5 l","X 1,5 l","VSÖ","6","1013127","601575","Frankrike","32584323000088",""
"Hernö Sloe Gin 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","1024963","601245","Sverige","7350064520062","Gin"
"Château d'Esclans Rock Angel Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","33311215","610303","Frankrike","13760167972094",""
"Viviana Tequila Blanco 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","X5416010101","610311","Mexico","","Tequila"
"Le Poule Blanche 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","33230015","610220","Frankrike","23760167978208",""
"Hernö Old Tom Gin 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","1024959","601237","Sverige","7350064520079","Gin"
"Jacob's Creek Semil Chard Piccolo 18,7cl","2,24 kg","X 0,187 l","X 0,187 l","VSÖ","12","1050138","601328","Australien","19300727010299",""
"Le Poussin Rosé 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","33220015","610238","Frankrike","23760167978307",""
"Collet Rosé Brut 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","33160200","610048","Frankrike","03226774290028",""
"Collet Vintage 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","33160706","610063","Frankrike","03226776340042",""
"Bourgogne Pinot Noir 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7948501","610204","Frankrike","",""
"Hofbrau Oktoberfest bier 50cl","10,00 kg","X 0,5 l","X 0,5 l","VSÖ","20","11298-01","609974","Tyskland","","Lager"
"Le Coq Rouge 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","33210015","610212","Frankrike","23760167978109",""
"Collet Brut 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","33160400","610071","Frankrike","03226771220028",""
"Bourgogne Chardonnay 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7948401","610196","Frankrike","",""
"Löwenbräu Oktoberfest 50cl","10,00 kg","X 0,5 l","X 0,5 l","VSÖ","20","6448","610147","Tyskland","04078600078008","Lager"
"Collet Brut Grand Art Magnum 1,5L","1,50 kg","X 1,5 l","X 1,5 l","VSÖ","6","33160115","610022","Frankrike","03226771230034",""
"Santa Ana Unánime 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","7528401","608265","Argentina","07790762250906",""
"Collet Extra Brut 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","33160300","610006","Frankrike","03226777340027",""
"Monin matcha green tea 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M93","608513","Frankrike","3052910041090","Syrups"
"Collet Blanc de Blanc 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","33160600","610055","Frankrike","03226775310022",""
"Collet Brut Grand Art 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","6","33160100","610014","Frankrike","03226772250123",""
"Hernö Navy Strength Gin 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","1024964","601211","Sverige","7350064520031","Gin"
"Lander-Jenkins Pinot Noir 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","9044650","601195","USA","",""
"Beaumont des Crayères Grande Reserv 75cl","0,75 kg","X 0,75 l","X 0,75 l","VSÖ","12","789101","608976","Frankrike","3463000010115",""
"Ruppertsberger Riesling Nussbien 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","590101","608174","Tyskland","",""
"Casa Vinironia Appassimento BIB 3L","12,00 kg","X 3 l","X 3 l","VSÖ","4","210908","608133","Italien","05704634250996",""
"Hernö Gin 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","1024961","601203","Sverige","","Gin"
"Pere Magloire VSOP 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","8633102","608190","Frankrike","03181250066903","Calvados"
"The Deveron 12 yo 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","9046763","601187","Storbritannien","5010752001342","Single malt, Highlands"
"Hernö Juniper Cask Gin 50cl","0,50 kg","X 0,5 l","X 0,5 l","VSÖ","6","1024965","601229","Sverige","7350064520048","Gin"
"Fuller's Black Cab Stout 50cl","6,00 kg","X 0,5 l","X 0,5 l","VSÖ","12","46857","606798","Storbritannien","05011885011161","Stout"
"Bacardi Carta Blanca 48x5cl","2,40 kg","X 0,05 l","X 0,05 l","VSÖ","48","9038271","487462","Puerto Rico","05010677010252","Rom"
"Gustave Lorentz Riesling 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","1003072","486969","Frankrike","03328771504204",""
"Veuve Clicquot Ponsardin 37,5cl","0,38 kg","X 0,375 l","X 0,375 l","VSÖ","12","9003446","487827","Frankrike","",""
"Monin ananas 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M24-FL","141168","Frankrike","3052910056414","Syrups"
"Gran Coronas 1,5L","1,50 kg","X 1,5 l","X 1,5 l","VSÖ","6","7360106","488353","Spanien","08410113003140",""
"Monin gul banan 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M11","137083","Frankrike","03052910056315","Syrups"
"Monin grön banan 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M10-FL","137091","Frankrike","","Syrups"
"Monin vanilj 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M40","134247","Frankrike","03052910056469","Syrups"
"Domaine Pouderoux Maury 50cl","6,00 kg","X 0,5 l","X 0,5 l","VSÖ","12","780602","487678","Frankrike","",""
"Monin rosa grape 70cl","1,40 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M94-FL","139584","Frankrike","3052910041106","Syrups"
"Monin cocos 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M12","138545","Frankrike","03052910056322","Syrups"
"Monin grön mint 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M4-FL","129478","Frankrike","","Syrups"
"Monin hasselnöt 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M16","131532","Frankrike","03052911145094","Syrups"
"Monin vattenmelon 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M76","130260","Frankrike","","Syrups"
"Monin blå curacao 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M9","127506","Frankrike","03052910056353","Syrups"
"Monin hallon 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M30","131656","Frankrike","03052910056278","Syrups"
"Monin kiwi 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M17","127498","Frankrike","03052910056438","Syrups"
"Monin cassis 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M27-FL","128678","Frankrike","03052910056292","Syrups"
"Monin aprikos 70cl","0,70 kg","0,70 l/Flaska","0,70 l/Flaska","Torrt","6","M8-FL","104828","Frankrike","03052910056452","Syrups"
"Barmix Lemon Sweet Sour 1L","1,00 kg","1,00 l/Styck","1,00 l/Styck","Torrt","12","8-41","028431","Sverige","00076381235591","Drinkmix"
"Whispering Angel Rosé 75cl","4,50 kg","X 0,75 l","X 0,75 l","VSÖ","6","33310016","610287","Frankrike","13760167974166",""
"Whispering Angel Rosé Magnum 1,5L","4,50 kg","X 1,5 l","X 1,5 l","VSÖ","3","33310115","610295","Frankrike","",""
"Rochefort 8 33cl","7,92 kg","X 0,33 l","X 0,33 l","VSÖ","24","1619-03","610667","Belgien","05412858000081","Lager"
"Monin grenadin 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M1","127472","Frankrike","03052910056254","Syrups"
"Cocktailbär röd skaft 500g","0,40 kg","0,50 kg/Styck","0,50 kg/Styck","Torrt","6","8-80","127415","Sverige","05010392002495","Övrigt"
"Monin passion 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M21","127357","Frankrike","03052910056339","Syrups"
"Viviana Tequila Reposado 70cl","0,70 kg","X 0,7 l","X 0,7 l","VSÖ","6","10110","610345","Mexico","7350056240053","Tequila"
"Domaine Bousquet Malbec 75cl","9,00 kg","X 0,75 l","X 0,75 l","VSÖ","12","X5316JB0201","485581","Argentina","",""
"Monin persika 70cl","0,70 kg","0,70 l/Styck","0,70 l/Styck","Torrt","6","M22","127365","Frankrike","03052910056377","Syrups"
"Monin mörk chokladsås 50cl","0,50 kg","0,50 l/Styck","0,50 l/Styck","Torrt","6","M100","485821","Frankrike","3052910044220","Syrups"
